IrO1,IrO2
160.69,74.97
161.31,75.01
161.89,74.03
162.63,75.73
163.11,74.55
163.59,75.47
163.99,76.41
164.39,75.77
165.33,76.11
165.83,77.39
166.25,76.05
167.09,77.81
167.49,77.27
168.11,76.53
168.79,78.17
169.41,78.57
169.99,77.73
170.49,79.63
170.91,78.09
171.63,78.23
172.15,80.07
172.81,79.55
173.27,79.35
173.83,81.15
174.15,79.37
174.91,79.77
175.35,81.77
176.09,80.47
176.23,80.89
176.73,82.53
177.63,81.95
177.75,80.85
178.37,81.85
178.95,83.37
179.29,82.91
180.01,81.63
180.43,81.79
181.01,82.63
181.45,83.83
181.91,84.65
182.55,83.41
182.99,84.11
183.57,82.91
183.77,83.89
184.47,85.15
185.05,85.91
185.29,85.85
186.19,86.13
186.25,85.45
186.81,84.91
187.53,84.41
187.73,85.39
188.79,85.13
188.77,84.97
189.21,85.35
189.55,86.85
190.15,86.81
190.79,87.01
191.01,86.99
191.73,87.09
192.11,89.03
192.47,89.11
193.05,89.41
193.57,89.51
193.69,87.73
194.39,87.77
194.93,87.57
195.09,87.79
195.57,90.35
196.11,90.43
196.15,90.23
196.59,90.39
196.47,88.75
196.51,88.49
195.79,88.43
195.41,88.17
194.91,87.75
194.13,87.55
193.59,87.15
192.67,86.87
192.11,86.33
191.23,87.11
190.17,86.43
189.55,85.19
188.57,83.79
188.09,83.95
187.11,83.37
186.35,83.61
185.37,83.73
184.47,82.13
183.65,81.67
182.65,81.29
181.81,81.61
180.93,81.25
179.95,79.49
179.01,79.75
178.11,79.19
177.23,79.53
176.69,78.23
175.51,77.97
174.51,78.45
173.73,77.37
173.33,76.89
172.99,77.47
172.53,76.03
172.43,77.09
172.59,77.17
172.47,76.71
172.89,77.19
172.79,78.33
173.35,77.27
173.33,77.15
173.65,77.35
174.29,78.25
174.29,78.87
174.61,79.71
175.07,79.73
175.25,80.47
175.71,79.87
176.55,79.21
176.55,79.65
177.01,80.37
177.27,80.11
177.75,80.81
178.33,81.53
178.61,82.23
179.07,82.85
179.53,82.55
179.97,83.15
180.35,83.63
180.95,83.25
181.27,82.65
181.99,83.65
182.17,83.05
182.63,82.53
183.05,83.13
183.51,84.11
184.01,83.99
184.57,84.75
184.83,85.55
185.65,86.09
185.95,85.47
186.63,86.05
186.97,86.23
187.45,86.91
187.85,87.05
188.15,85.71
188.83,85.85
189.17,86.11
189.65,85.81
189.91,87.55
190.31,88.11
190.89,88.15
191.37,87.87
191.71,86.31
192.27,87.45
192.69,88.51
192.87,89.27
193.43,89.05
194.17,87.41
194.35,87.47
194.83,88.27
194.99,89.09
195.49,90.63
195.93,90.37
