IrO1,IrO2
56.49,33.13
56.43,33.33
56.41,33.11
56.55,33.05
56.47,32.91
56.41,33.19
56.41,32.97
56.35,33.05
56.29,32.99
56.33,33.05
56.23,33.05
56.21,33.11
56.33,33.13
56.25,33.19
56.23,33.19
56.25,33.21
56.17,33.05
56.03,32.95
56.33,32.89
56.15,33.19
56.13,33.03
55.95,32.97
56.25,32.91
55.87,33.05
55.91,32.85
56.03,32.99
55.79,32.91
55.89,33.13
55.67,32.85
56.03,32.77
56.01,33.11
55.83,32.81
55.83,32.91
55.91,32.89
55.91,32.95
55.91,32.99
55.87,32.97
55.87,32.85
55.71,32.95
55.81,32.95
55.81,32.85
55.83,32.77
55.85,33.03
55.71,32.83
55.61,32.81
55.83,32.89
55.71,32.67
55.75,32.63
55.51,32.91
55.65,32.75
55.57,32.99
55.61,32.61
55.63,32.77
55.65,32.85
55.73,32.75
55.55,32.69
55.65,32.67
55.81,32.75
55.63,32.75
55.69,32.59
55.57,32.83
55.37,32.61
55.55,32.77
55.45,32.75
55.41,32.63
55.31,32.89
55.43,32.95
55.51,32.69
55.45,32.61
55.31,32.55
55.33,32.75
55.15,32.69
55.29,32.53
55.27,32.67
55.35,32.61
55.25,32.75
55.31,32.69
55.27,32.67
55.41,32.61
55.35,32.53
55.27,32.67
55.17,32.53
54.93,32.59
55.15,32.61
55.19,32.45
55.33,32.53
55.13,32.59
55.11,32.55
54.97,32.55
55.09,32.55
55.05,32.59
55.11,32.35
54.93,32.47
54.97,32.53
54.97,32.47
54.89,32.55
55.03,32.45
54.89,32.47
54.63,32.63
54.95,32.55
54.75,32.33
54.77,32.33
54.89,32.47
54.85,32.41
54.85,33.33
54.77,32.97
54.73,33.33
54.77,33.19
54.75,32.27
54.63,32.39
54.85,32.49
54.61,32.49
54.87,32.35
54.75,32.21
54.73,32.47
54.67,32.19
54.59,32.41
54.61,32.13
54.81,32.45
54.61,32.25
