timestamp,EnvH,EnvT,InH,InT,IrA1,IrO1,IrA2,IrO2
2025-06-24 16:09:37.30,31.53,28.77,33.6,30.52,,,31.43,32.91
2025-06-24 16:09:38.63,32.98,28.97,34.93,30.84,,,31.43,32.97
2025-06-24 16:09:39.83,32.98,28.99,34.95,30.86,,,31.45,32.97
2025-06-24 16:09:41.00,33.03,28.99,34.94,30.82,,,31.43,33.49
2025-06-24 16:09:42.22,33.05,28.97,34.99,30.84,,,31.45,33.65
2025-06-24 16:09:43.40,33.02,28.97,35.48,30.82,,,31.43,33.87
2025-06-24 16:09:44.61,32.99,28.97,35.42,30.78,,,31.43,34.43
2025-06-24 16:09:45.80,32.96,28.97,35.39,30.74,,,31.37,35.01
2025-06-24 16:09:46.99,32.95,28.97,35.41,30.63,,,31.37,35.23
2025-06-24 16:09:48.18,32.93,28.97,35.62,30.56,,,31.29,35.59
2025-06-24 16:09:49.38,32.91,28.97,35.96,30.46,,,31.25,36.09
2025-06-24 16:09:50.60,32.88,28.97,36.1,30.42,,,31.23,36.53
2025-06-24 16:09:51.79,32.86,28.97,36.26,30.35,,,31.15,36.87
2025-06-24 16:09:52.99,32.87,28.94,36.63,30.33,,,31.19,37.13
2025-06-24 16:09:54.17,32.88,28.97,36.76,30.27,,,31.11,37.27
2025-06-24 16:09:55.34,32.92,28.97,37.0,30.2,,,31.07,38.03
2025-06-24 16:09:56.58,32.95,28.94,36.81,30.14,,,31.01,38.45
2025-06-24 16:09:57.77,32.97,28.97,36.54,30.1,,,30.99,38.97
2025-06-24 16:09:58.97,32.96,28.97,36.39,30.05,,,30.99,39.39
2025-06-24 16:10:00.15,32.96,28.94,36.42,29.99,,,30.95,39.27
2025-06-24 16:10:01.33,32.97,28.94,36.44,29.95,,,30.91,39.99
2025-06-24 16:10:02.57,33.03,28.92,36.43,29.93,,,30.89,40.43
2025-06-24 16:10:03.78,33.12,28.97,36.52,29.91,,,30.87,41.17
2025-06-24 16:10:04.99,33.14,28.97,36.56,29.86,,,30.87,41.75
2025-06-24 16:10:06.18,33.18,28.97,36.58,29.82,,,30.81,41.43
2025-06-24 16:10:07.38,33.19,28.94,36.55,29.78,,,30.77,41.91
2025-06-24 16:10:08.61,33.2,28.94,36.51,29.76,,,30.73,42.25
2025-06-24 16:10:09.79,33.19,28.97,36.51,29.72,,,30.73,42.73
2025-06-24 16:10:10.97,33.18,28.94,36.54,29.67,,,30.73,42.93
2025-06-24 16:10:12.17,33.22,28.94,36.64,29.67,,,30.69,43.83
2025-06-24 16:10:13.37,33.26,28.94,36.69,29.61,,,30.73,43.97
2025-06-24 16:10:14.62,33.26,28.97,36.77,29.61,,,30.67,44.95
2025-06-24 16:10:15.80,33.28,28.94,37.08,29.61,,,30.65,44.97
2025-06-24 16:10:16.97,33.29,28.94,37.47,29.59,,,30.65,45.15
2025-06-24 16:10:18.16,33.34,28.92,37.2,29.59,,,30.61,45.97
2025-06-24 16:10:19.34,33.39,28.94,37.02,29.54,,,30.63,46.19
2025-06-24 16:10:20.58,33.37,28.94,37.03,29.52,,,30.63,47.15
2025-06-24 16:10:21.76,33.38,28.94,36.99,29.52,,,30.57,47.17
2025-06-24 16:10:22.94,33.37,28.94,36.9,29.52,,,30.59,47.15
2025-06-24 16:10:24.12,33.42,28.94,36.9,29.52,,,30.59,47.53
2025-06-24 16:10:25.32,33.42,28.94,36.86,29.52,,,30.51,48.07
2025-06-24 16:10:26.55,33.42,28.92,36.85,29.5,,,30.55,48.43
2025-06-24 16:10:27.73,33.39,28.94,36.89,29.48,,,30.57,49.13
2025-06-24 16:10:28.92,33.37,28.94,36.91,29.46,,,30.51,50.19
2025-06-24 16:10:30.11,33.36,28.94,36.95,29.46,,,30.55,50.49
2025-06-24 16:10:31.29,33.39,28.94,36.96,29.44,,,30.57,50.81
2025-06-24 16:10:32.51,33.4,28.94,36.94,29.48,,,30.51,51.25
2025-06-24 16:10:33.70,33.39,28.94,36.91,29.46,,,30.51,50.93
2025-06-24 16:10:34.88,33.39,28.97,37.23,29.48,,,30.51,51.21
2025-06-24 16:10:36.05,33.36,28.94,37.69,29.5,,,30.51,51.53
2025-06-24 16:10:37.24,33.36,28.92,37.59,29.5,,,30.49,52.19
2025-06-24 16:10:38.46,33.4,28.92,37.3,29.48,,,30.51,52.39
2025-06-24 16:10:39.65,33.44,28.97,37.12,29.5,,,30.55,53.57
2025-06-24 16:10:40.83,33.42,28.94,37.09,29.5,,,30.51,54.03
2025-06-24 16:10:42.01,33.39,28.94,36.96,29.48,,,30.51,54.59
2025-06-24 16:10:43.19,33.37,28.94,36.91,29.46,,,30.47,54.43
2025-06-24 16:10:44.49,33.37,28.94,36.87,29.5,,,30.51,55.33
2025-06-24 16:10:45.70,33.36,28.92,36.84,29.5,,,30.49,55.13
2025-06-24 16:10:46.93,33.35,28.92,36.83,29.5,,,30.55,55.37
2025-06-24 16:10:48.11,33.34,28.92,36.8,29.48,,,30.55,55.53
2025-06-24 16:10:49.29,33.33,28.94,36.79,29.5,,,30.55,56.09
2025-06-24 16:10:50.54,33.33,28.94,36.78,29.5,,,30.51,57.37
2025-06-24 16:10:51.71,33.32,28.92,36.78,29.5,,,30.51,57.51
2025-06-24 16:10:52.90,33.32,28.92,36.8,29.5,,,30.63,57.33
2025-06-24 16:10:54.09,33.27,28.94,36.8,29.5,,,30.59,57.37
2025-06-24 16:10:55.28,33.24,28.94,36.81,29.5,,,30.59,58.31
