iteration_since_maintenance,wait_time,cook_time,cooldown_time,duration_till_handover,duration_total,duration_cc_flow,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA,after_flow_start_env_InH,after_flow_start_env_InT,after_flow_start_env_IrO,after_flow_start_env_IrA,after_flow_end_env_InH,after_flow_end_env_InT,after_flow_end_env_IrO,after_flow_end_env_IrA,before_cooldown_env_InH,before_cooldown_env_InT,before_cooldown_env_IrO,before_cooldown_env_IrA,after_cooldown_env_InH,after_cooldown_env_InT,after_cooldown_env_IrO,after_cooldown_env_IrA,final_weight,weight_consistency,avg_pressure,pressure_stability,avg_size,size_consistency,source_file,overall_quality_score,high_quality
15,90,80,60,0,587.149858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,10.0,26.296666666666667,10.0,5.333333333333333,10.0,Batches/batch-7/7-2-process.yaml,10.0,0
18,85,75,60,0,407.732765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.889999999999999,10.0,10.866666666666667,10.0,1.6666666666666667,10.0,Batches/batch-7/7-3-process.yaml,10.0,0
13,95,85,60,0,532.206386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,10.0,21.38333333333333,10.0,4.666666666666667,10.0,Batches/batch-7/7-1-process.yaml,10.0,0
12,100,90,60,0,545.50989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,10.0,20.596666666666668,10.0,6.333333333333333,10.0,Batches/batch-7/7-0-process.yaml,10.0,0
