iteration,iteration_since_maintenance,wait_time,cook_time,cooldown_time,duration_till_handover,duration_total,duration_cc_flow,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA,after_flow_start_env_InH,after_flow_start_env_InT,after_flow_start_env_IrO,after_flow_start_env_IrA,after_flow_end_env_InH,after_flow_end_env_InT,after_flow_end_env_IrO,after_flow_end_env_IrA,before_cooldown_env_InH,before_cooldown_env_InT,before_cooldown_env_IrO,before_cooldown_env_IrA,after_cooldown_env_InH,after_cooldown_env_InT,after_cooldown_env_IrO,after_cooldown_env_IrA
27,23,60.00,40.00,60.00,189.26,494.53,80.94,60.25,22.17,34.02,38.22,59.35,29.51,36.00,36.69,60.61,29.23,32.10,40.19,76.11,29.87,32.32,39.92,72.93,30.37,33.83,38.34,53.81,29.71
28,24,50.00,30.00,60.00,169.44,414.62,36.40,60.19,22.23,34.16,38.13,54.43,29.67,34.40,38.32,69.71,29.07,33.20,39.17,71.19,29.59,31.76,40.49,68.61,29.73,33.36,38.88,53.21,29.13
29,25,40.00,20.00,60.00,151.95,402.93,86.13,60.48,22.32,33.76,38.49,51.33,29.11,36.10,36.86,60.15,28.63,33.22,39.37,75.89,29.07,31.55,40.85,69.93,29.85,32.95,39.35,52.89,29.43
30,26,30.00,10.00,60.00,132.09,407.27,73.02,60.63,22.30,33.23,39.11,53.25,29.49,35.56,37.30,60.99,29.13,32.45,40.11,75.61,29.37,31.05,41.41,68.87,29.23,32.43,39.94,55.23,28.81
31,27,20.00,0.00,60.00,109.18,488.96,61.83,61.07,22.34,32.63,39.77,54.05,28.79,34.87,37.88,59.87,28.97,33.66,39.01,70.97,29.21,32.28,40.24,72.17,29.97,33.34,39.22,54.13,29.41
34,31,100.00,90.00,60.00,283.77,618.32,105.61,63.09,23.14,39.32,36.71,54.09,28.85,36.13,39.26,69.77,29.53,33.44,41.36,70.63,31.47,34.23,40.60,77.07,30.49,34.37,40.34,60.37,30.51
35,32,95.00,85.00,60.00,276.50,604.10,123.94,63.37,23.08,34.69,39.98,53.71,30.55,36.85,38.28,61.57,30.51,33.52,41.19,73.39,32.11,33.63,41.24,68.33,30.89,35.20,39.71,53.45,30.51
36,33,90.00,80.00,60.00,271.29,665.72,258.32,63.39,23.53,35.60,39.35,56.49,30.71,37.90,37.73,60.37,30.13,33.28,41.47,73.15,31.13,33.82,41.21,74.55,30.77,34.32,40.60,58.81,30.79
37,34,85.00,75.00,60.00,257.56,479.78,130.76,62.65,23.59,34.38,40.53,61.79,30.83,34.47,40.58,70.19,30.71,32.70,41.94,73.77,32.59,33.30,41.26,69.87,30.89,34.54,40.05,54.43,30.25
38,35,102.00,100.00,60.00,293.43,532.92,106.16,60.14,24.12,63.37,24.55,25.05,25.33,47.52,31.84,56.97,26.41,37.52,38.28,76.07,29.99,34.89,39.92,72.25,30.59,35.31,39.37,56.63,30.57
39,36,60.00,70.00,60.00,1247.18,1513.68,89.51,58.00,24.46,35.38,39.32,57.35,30.55,44.76,33.22,59.53,28.05,37.56,38.15,74.25,29.73,32.64,41.87,72.03,32.07,33.18,41.21,57.77,31.95
40,37,60.00,70.00,60.00,214.96,445.55,96.81,57.70,24.61,33.24,41.13,57.61,31.89,35.37,39.32,62.19,31.85,32.23,42.28,77.97,32.43,32.49,41.91,75.73,31.77,32.99,41.21,59.33,31.47
41,38,60.00,70.00,60.00,217.34,453.78,112.50,57.38,24.70,33.12,41.15,58.73,31.49,35.08,39.47,62.69,31.47,31.96,42.36,76.71,32.33,32.20,42.00,77.47,31.57,32.63,41.45,59.89,31.51
42,39,60.00,70.00,60.00,211.05,431.50,124.34,57.32,24.78,32.68,41.41,61.63,31.47,34.45,39.77,63.37,31.65,31.48,42.45,69.05,32.39,31.82,41.98,75.63,31.41,32.31,41.47,59.41,31.27
43,40,60.00,70.00,60.00,215.04,422.35,89.04,57.32,24.59,32.37,41.41,59.05,31.25,34.18,39.68,62.35,31.43,31.55,42.36,78.51,32.23,31.51,42.19,72.13,31.47,32.42,41.24,57.77,31.09
44,41,102.00,100.00,60.00,287.01,567.80,126.41,57.06,24.59,42.94,32.95,26.27,26.73,48.83,32.80,57.29,27.89,38.57,39.35,77.93,31.57,36.05,40.85,75.47,32.63,36.09,40.68,58.49,32.09
45,42,30.00,80.00,60.00,194.20,408.87,103.35,60.40,25.71,36.18,40.62,59.25,32.01,38.39,39.05,62.99,32.17,35.21,41.75,77.93,32.99,34.65,41.98,68.65,32.79,36.05,40.70,55.55,32.23
46,43,30.00,80.00,60.00,195.68,460.03,118.98,60.41,25.76,36.12,40.64,55.97,32.15,38.50,38.98,61.91,32.19,34.60,42.32,75.97,32.93,33.04,43.60,76.67,33.33,33.27,43.30,61.79,33.19
47,44,30.00,80.00,60.00,193.51,426.70,124.52,60.98,25.69,33.35,43.24,62.25,33.23,35.65,41.28,63.37,33.33,34.42,42.47,69.69,33.89,35.25,41.66,74.43,33.81,35.98,41.00,59.97,33.65
48,45,30.00,80.00,60.00,195.85,421.61,109.69,61.18,25.73,36.05,40.94,59.09,33.67,38.03,39.58,64.65,33.13,35.62,41.66,75.69,33.79,35.56,41.70,71.47,33.25,36.26,40.94,57.65,33.23
