feature,current_value,optimal_value,change,change_percent
baseline_env_EnvT,24.851195652173907,24.851195652173907,0.0,0.0
before_turn_on_env_IrO,57.37978260869565,57.37978260869565,0.0,0.0
wait_time,52.59782608695652,52.59782608695652,0.0,0.0
before_turn_on_env_InH,37.96076086956521,37.96076086956521,0.0,0.0
before_turn_on_env_IrA,30.672826086956523,30.672826086956523,0.0,0.0
