iteration,iteration_since_maintenance,wait_time,cook_time,cooldown_time,duration_cc_flow,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA
14,10,102.0,105.0,60.0,70.28,61.72,23.91,64.94,24.21,24.39,24.61
16,12,50.0,50.0,60.0,44.73,63.35,23.27,50.66,29.4,31.75,28.45
17,13,55.0,55.0,60.0,51.21,63.08,23.36,37.11,37.9,55.75,31.05
18,14,60.0,60.0,60.0,40.51,63.23,23.29,35.61,38.85,57.99,31.01
19,15,65.0,65.0,60.0,38.27,63.12,23.29,34.08,40.11,59.23,31.21
20,16,70.0,70.0,60.0,21.41,63.14,23.4,33.75,40.43,58.07,30.39
21,17,75.0,75.0,60.0,61.73,64.17,23.23,34.66,39.81,53.63,30.07
22,18,80.0,80.0,60.0,57.53,64.92,22.87,35.33,39.09,53.89,29.33
23,19,100.0,80.0,60.0,62.13,62.07,21.64,64.28,22.26,21.85,22.39
24,20,90.0,70.0,60.0,74.77,61.04,21.98,37.23,36.01,55.47,26.81
25,21,80.0,60.0,60.0,27.79,60.52,21.96,33.44,38.9,67.53,28.69
26,22,70.0,50.0,60.0,55.43,59.87,22.13,33.79,38.43,54.23,28.57
27,23,60.0,40.0,60.0,80.94,60.25,22.17,34.02,38.22,59.35,29.51
28,24,50.0,30.0,60.0,36.4,60.19,22.23,34.16,38.13,54.43,29.67
29,25,40.0,20.0,60.0,86.13,60.48,22.32,33.76,38.49,51.33,29.11
30,26,30.0,10.0,60.0,73.02,60.63,22.3,33.23,39.11,53.25,29.49
31,27,20.0,0.0,60.0,61.83,61.07,22.34,32.63,39.77,54.05,28.79
34,31,100.0,90.0,60.0,105.61,63.09,23.14,39.32,36.71,54.09,28.85
35,32,95.0,85.0,60.0,123.94,63.37,23.08,34.69,39.98,53.71,30.55
36,33,90.0,80.0,60.0,258.32,63.39,23.53,35.6,39.35,56.49,30.71
37,34,85.0,75.0,60.0,130.76,62.65,23.59,34.38,40.53,61.79,30.83
38,35,102.0,100.0,60.0,106.16,60.14,24.12,63.37,24.55,25.05,25.33
39,36,60.0,70.0,60.0,89.51,58.0,24.46,35.38,39.32,57.35,30.55
40,37,60.0,70.0,60.0,96.81,57.7,24.61,33.24,41.13,57.61,31.89
41,38,60.0,70.0,60.0,112.5,57.38,24.7,33.12,41.15,58.73,31.49
42,39,60.0,70.0,60.0,124.34,57.32,24.78,32.68,41.41,61.63,31.47
43,40,60.0,70.0,60.0,89.04,57.32,24.59,32.37,41.41,59.05,31.25
44,41,102.0,100.0,60.0,126.41,57.06,24.59,42.94,32.95,26.27,26.73
45,42,30.0,80.0,60.0,103.35,60.4,25.71,36.18,40.62,59.25,32.01
46,43,30.0,80.0,60.0,118.98,60.41,25.76,36.12,40.64,55.97,32.15
47,44,30.0,80.0,60.0,124.52,60.98,25.69,33.35,43.24,62.25,33.23
48,45,30.0,80.0,60.0,109.69,61.18,25.73,36.05,40.94,59.09,33.67
49,46,30.0,80.0,60.0,119.17,61.65,25.8,36.33,40.92,58.63,33.15
50,47,30.0,80.0,60.0,126.42,61.89,25.78,36.29,40.92,58.27,33.13
51,48,30.0,80.0,60.0,110.04,61.87,25.73,34.74,42.15,56.17,33.23
52,49,30.0,80.0,60.0,117.38,61.96,25.69,36.46,40.68,59.21,33.41
