iteration,batch_number,stick_number,pos1_pressures,pos2_pressures,pos3_pressures
4,1,0,"[0.49, 2.96, 9.72, 20.36, 30.74, 34.85, 27.94, 13.51, 13.51, 2.9, 0.1, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.48, 1.93, 2.58, 1.24, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.28, 0.28, 0.28, 0.27, 0.27, 0.27, 0.27, 0.28, 0.91, 3.07, 7.35, 11.76, 13.55, 11.3, 5.83, 0.92, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 8.36, 17.37, 22.04, 17.98, 8.38, 1.68, 0.07, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.84, 2.83, 3.88, 2.84, 1.22, 0.23, 0.02, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.92, 2.52, 5.49, 6.38, 4.23, 2.97, 2.96, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.96, 2.96, 2.96, 2.96, 2.97, 2.97, 2.97, 2.97]"
5,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 8.36, 17.37, 22.04, 17.98, 8.38, 1.68, 0.07, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.84, 2.83, 3.88, 2.84, 1.22, 0.23, 0.02, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.92, 2.52, 5.49, 6.38, 4.23, 2.97, 2.96, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.96, 2.96, 2.96, 2.96, 2.97, 2.97, 2.97, 2.97]"
5,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 8.36, 17.37, 22.04, 17.98, 8.38, 1.68, 0.07, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.84, 2.83, 3.88, 2.84, 1.22, 0.23, 0.02, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.92, 2.52, 5.49, 6.38, 4.23, 2.97, 2.96, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.96, 2.96, 2.96, 2.96, 2.97, 2.97, 2.97, 2.97]"
5,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 8.36, 17.37, 22.04, 17.98, 8.38, 1.68, 0.07, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.84, 2.83, 3.88, 2.84, 1.22, 0.23, 0.02, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.92, 2.52, 5.49, 6.38, 4.23, 2.97, 2.96, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.96, 2.96, 2.96, 2.96, 2.97, 2.97, 2.97, 2.97]"
5,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 8.36, 17.37, 22.04, 17.98, 8.38, 1.68, 0.07, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.84, 2.83, 3.88, 2.84, 1.22, 0.23, 0.02, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.92, 2.52, 5.49, 6.38, 4.23, 2.97, 2.96, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.96, 2.96, 2.96, 2.96, 2.97, 2.97, 2.97, 2.97]"
5,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 8.36, 17.37, 22.04, 17.98, 8.38, 1.68, 0.07, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.84, 2.83, 3.88, 2.84, 1.22, 0.23, 0.02, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.92, 2.52, 5.49, 6.38, 4.23, 2.97, 2.96, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.96, 2.96, 2.96, 2.96, 2.97, 2.97, 2.97, 2.97]"
5,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 8.36, 17.37, 22.04, 17.98, 8.38, 1.68, 0.07, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.84, 2.83, 3.88, 2.84, 1.22, 0.23, 0.02, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.92, 2.52, 5.49, 6.38, 4.23, 2.97, 2.96, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.96, 2.96, 2.96, 2.96, 2.97, 2.97, 2.97, 2.97]"
5,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 8.36, 17.37, 22.04, 17.98, 8.38, 1.68, 0.07, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.84, 2.83, 3.88, 2.84, 1.22, 0.23, 0.02, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.92, 2.52, 5.49, 6.38, 4.23, 2.97, 2.96, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.96, 2.96, 2.96, 2.96, 2.97, 2.97, 2.97, 2.97]"
5,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 8.36, 17.37, 22.04, 17.98, 8.38, 1.68, 0.07, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.84, 2.83, 3.88, 2.84, 1.22, 0.23, 0.02, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.92, 2.52, 5.49, 6.38, 4.23, 2.97, 2.96, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.96, 2.96, 2.96, 2.96, 2.97, 2.97, 2.97, 2.97]"
