quality_score
45.3
23.11
10.95
10.37
63.26
17.13
15.56
26.74
44.44
47.35
22.38
30.25
18.84
52.01
33.02
26.96
25.44
23.12
3.0
20.07
16.37
34.39
32.04
3.31
31.21
37.58
47.99
47.19
37.77
4.83
34.29
28.29
26.58
31.35
39.11
18.4
26.42
23.28
21.31
25.67
42.39
55.44
51.06
43.07
54.39
47.4
43.26
45.53
50.08
41.68
35.56
57.81
59.11
51.45
56.67
39.81
47.52
53.95
56.0
43.7
49.19
61.07
46.11
56.83
40.06
55.76
47.42
43.46
40.64
52.39
59.32
59.98
57.31
66.91
67.45
65.64
62.12
69.83
71.22
71.78
65.76
60.81
53.64
64.96
58.07
58.53
66.16
68.07
68.59
64.11
16.39
56.83
