feature,Ridge_coef,Lasso_coef,ElasticNet_coef,avg_abs_coef
after_flow_start_env_IrA,10.601833067777967,12.163033513465198,2.3178087690413873,8.360891783428185
before_turn_on_env_IrO,7.403661769455635,9.70175266929731,3.399293567471781,6.834902668741575
after_flow_end_env_InH,6.7405114887227615,6.369013783999135,3.7293326271221456,5.612952633281348
wait_time,5.6893878489057315,5.674352692219875,4.173406409451862,5.179048983525823
after_cooldown_env_IrO,4.637271817443431,4.678612112126839,3.65204309952019,4.322642343030153
duration_cc_flow,4.500440472491451,4.174794551885474,3.831443023963057,4.168892682779994
before_cooldown_env_IrA,4.210339931103865,5.317937564008244,2.489165468517893,4.005814321210001
before_cooldown_env_IrO,4.795958462081568,3.8442275656885934,3.289800147941716,3.9766620585706254
duration_total,4.645801122387189,3.97860995061786,3.2846516489436595,3.969687573982903
before_turn_on_env_InT,5.4071625826015115,3.5985591627036393,2.8939958441649423,3.9665725298233645
after_flow_end_env_IrA,5.611709123317989,5.123497079750162,0.8957113462423958,3.876972516436849
cooldown_time,4.265192942976781,3.520371939093047,3.2953384147323406,3.6936344322673893
duration_till_handover,4.833932658806159,3.317841212190912,1.3719019028906518,3.1745585912959076
before_cooldown_env_InT,4.948701372371461,2.285470272923293,2.215336309656587,3.14983598498378
after_flow_end_env_InT,3.972525711503978,2.3620726173741904,2.7898438182265055,3.041480715701558
after_flow_end_env_IrO,3.922714937272212,1.6703375753230247,2.4515469249700015,2.6815331458550795
before_turn_on_env_InH,2.905371069963256,2.0823771050651856,2.277006752876882,2.421584975968441
efficiency_ratio,2.500803883479794,2.15467754675808,1.716746951184477,2.1240761271407838
after_flow_start_env_IrO,2.895264212199623,0.823430900695237,0.06465978632776129,1.2611182997408739
before_cooldown_env_InH,2.6318495449761747,0.0,1.1365264941742834,1.256125346383486
iteration_since_maintenance,1.1963686869334973,1.1737031896324,1.396161854506913,1.2554112436909368
baseline_env_EnvT,3.711230262219098,0.0,0.0,1.2370767540730327
after_flow_start_env_InH,2.4043274882338834,0.0,0.0,0.8014424960779611
cook_time,0.9833529007696684,1.138902804176525,0.0,0.7074185683153978
after_flow_start_env_InT,1.4260013116582038,0.0,0.56964808476636,0.6652164654748546
after_cooldown_env_IrA,1.0143335561320455,0.0,0.7272501453206947,0.5805279004842467
temp_stability,1.2605682721312395,0.0,0.3766351032260376,0.5457344584524256
total_control_time,1.4700437823228878,0.0,0.1327962568784663,0.534280013067118
baseline_env_EnvH,0.4869654036953005,0.0,0.051053156996404045,0.17933952023056818
before_turn_on_env_IrA,0.07570244301319864,0.0,0.32924703234586994,0.13498315845302286
after_cooldown_env_InH,0.03054561125924052,0.0,0.2673646714522881,0.09930342757050954
after_cooldown_env_InT,0.08159622973777224,0.0,0.03573235223644098,0.03910952732473774
