iteration,iteration_since_maintenance,wait_time,cook_time,duration_cc_flow,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA
81,26,37.0,72.0,65.12,65.83,26.27,39.2,40.45,56.77,31.97
82,27,39.0,74.0,75.13,65.98,26.29,38.49,41.02,56.35,31.91
83,28,41.0,76.0,71.88,65.91,26.29,40.13,39.83,56.21,31.85
84,29,43.0,78.0,51.82,65.93,26.29,40.22,39.71,53.59,31.87
85,30,45.0,80.0,77.49,66.0,26.27,40.87,39.13,52.85,31.75
86,31,70.0,70.0,70.47,65.23,25.8,61.19,27.95,30.37,27.91
87,32,52.0,80.0,70.33,65.13,26.03,41.96,37.96,53.09,30.73
88,33,48.0,76.0,72.37,65.52,25.91,38.53,40.45,58.77,30.93
89,34,44.0,72.0,65.21,65.58,25.95,37.45,41.21,60.47,31.07
90,35,40.0,68.0,44.55,65.62,25.95,39.72,39.62,62.99,31.25
91,36,36.0,64.0,65.49,65.64,25.95,38.35,40.68,63.85,30.73
92,37,32.0,60.0,63.42,65.73,25.93,37.52,41.32,62.21,31.37
93,38,28.0,56.0,69.95,65.8,25.95,37.22,41.62,64.45,31.27
95,40,20.0,48.0,91.1,66.06,25.91,35.93,43.0,42.61,29.63
96,41,16.0,44.0,63.31,66.1,25.93,38.42,40.94,70.41,31.89
