iteration_since_maintenance,baseline_env_EnvH,baseline_env_EnvT,cook_temp,start_temp,cooled_temp,cook_time,cc_weight,data_completeness
36.0,65.64,25.95,65.21,65.39,66.09,64.0,9.15,1.0
37.0,65.73,25.93,65.25,63.69,67.49,60.0,9.07,1.0
38.0,65.8,25.95,65.53,67.71,72.39,56.0,7.77,1.0
40.0,66.06,25.91,49.11,42.11,72.87,48.0,0.0,1.0
41.0,66.1,25.93,71.61,68.97,75.57,44.0,8.03,1.0
42.0,70.27,23.8,33.49,31.33,56.03,70.0,8.54,1.0
43.0,70.11,23.89,58.15,52.93,57.21,67.0,9.59,1.0
44.0,70.0,23.93,58.89,52.29,56.09,68.0,8.92,1.0
45.0,70.0,24.08,60.13,54.15,56.61,69.0,8.54,1.0
46.0,69.97,24.06,58.71,53.65,55.71,70.0,8.86,1.0
47.0,69.99,24.06,58.55,53.83,55.55,71.0,8.22,1.0
48.0,70.0,24.08,57.53,54.01,56.57,72.0,8.68,1.0
49.0,69.98,24.12,58.89,54.07,56.31,73.0,8.03,1.0
11.0,43.03,22.28,53.0,50.0,54.0,73.0,8.23,1.0
13.0,43.01,22.93,53.0,55.0,54.0,73.0,8.93,1.0
14.0,41.82,23.23,53.0,50.0,54.0,70.0,8.29,1.0
15.0,42.35,23.06,53.0,50.0,54.0,81.0,7.96,1.0
16.0,41.23,23.08,50.0,50.0,54.0,73.0,6.93,1.0
17.0,41.89,22.95,56.0,50.0,54.0,74.0,10.02,1.0
18.0,43.86,22.78,53.0,50.0,52.0,73.0,8.92,1.0
19.0,43.08,23.0,56.0,55.0,54.0,69.0,8.51,1.0
20.0,43.22,22.83,50.0,45.0,52.0,81.0,9.35,1.0
21.0,42.95,23.0,53.0,50.0,54.0,73.0,9.11,1.0
22.0,44.25,22.59,53.0,50.0,54.0,73.0,9.56,1.0
23.0,45.42,22.4,53.0,45.0,54.0,74.0,8.7,1.0
24.0,44.81,22.49,53.0,45.0,52.0,69.0,9.24,1.0
25.0,45.64,22.25,53.0,55.0,54.0,80.0,9.13,1.0
26.0,46.12,22.11,56.0,50.0,52.0,62.0,7.87,1.0
27.0,45.56,22.08,50.0,50.0,54.0,61.0,6.39,1.0
28.0,45.6,22.06,53.0,50.0,52.0,58.0,6.77,1.0
29.0,45.53,22.08,56.0,45.0,54.0,73.0,8.24,1.0
30.0,44.97,22.19,50.0,55.0,52.0,70.0,8.25,1.0
31.0,46.23,21.96,56.0,45.0,54.0,81.0,8.51,1.0
32.0,45.98,22.02,50.0,50.0,52.0,61.0,8.71,1.0
